sample_id,ch00_imu1_pitch_mean,ch00_imu1_pitch_std,ch00_imu1_pitch_min,ch00_imu1_pitch_max,ch00_imu1_pitch_range,ch00_imu1_pitch_rms,ch01_imu1_yaw_mean,ch01_imu1_yaw_std,ch01_imu1_yaw_min,ch01_imu1_yaw_max,ch01_imu1_yaw_range,ch01_imu1_yaw_rms,ch02_imu1_roll_mean,ch02_imu1_roll_std,ch02_imu1_roll_min,ch02_imu1_roll_max,ch02_imu1_roll_range,ch02_imu1_roll_rms,ch03_imu2_pitch_mean,ch03_imu2_pitch_std,ch03_imu2_pitch_min,ch03_imu2_pitch_max,ch03_imu2_pitch_range,ch03_imu2_pitch_rms,ch04_imu2_yaw_mean,ch04_imu2_yaw_std,ch04_imu2_yaw_min,ch04_imu2_yaw_max,ch04_imu2_yaw_range,ch04_imu2_yaw_rms,ch05_imu2_roll_mean,ch05_imu2_roll_std,ch05_imu2_roll_min,ch05_imu2_roll_max,ch05_imu2_roll_range,ch05_imu2_roll_rms,ch06_glove_f1_thumb_mean,ch06_glove_f1_thumb_std,ch06_glove_f1_thumb_min,ch06_glove_f1_thumb_max,ch06_glove_f1_thumb_range,ch06_glove_f1_thumb_rms,ch07_glove_f2_index_mean,ch07_glove_f2_index_std,ch07_glove_f2_index_min,ch07_glove_f2_index_max,ch07_glove_f2_index_range,ch07_glove_f2_index_rms,ch08_glove_f3_middle_mean,ch08_glove_f3_middle_std,ch08_glove_f3_middle_min,ch08_glove_f3_middle_max,ch08_glove_f3_middle_range,ch08_glove_f3_middle_rms,ch09_glove_f4_ring_mean,ch09_glove_f4_ring_std,ch09_glove_f4_ring_min,ch09_glove_f4_ring_max,ch09_glove_f4_ring_range,ch09_glove_f4_ring_rms,ch10_glove_f5_pinky_mean,ch10_glove_f5_pinky_std,ch10_glove_f5_pinky_min,ch10_glove_f5_pinky_max,ch10_glove_f5_pinky_range,ch10_glove_f5_pinky_rms,ch11_glove_s5_pitch_mean,ch11_glove_s5_pitch_std,ch11_glove_s5_pitch_min,ch11_glove_s5_pitch_max,ch11_glove_s5_pitch_range,ch11_glove_s5_pitch_rms,movement_id,movement_name
0,-0.000000,34.772806,-51.937941,55.319659,107.257600,34.772806,0.000000,10.918033,-23.928708,24.053792,47.982500,10.918033,0.000000,25.300717,-45.496983,49.899117,95.396100,25.300717,0.000000,43.742681,-68.407154,57.662446,126.069600,43.742681,-0.000000,112.819339,-307.190514,110.836986,418.027500,112.819339,-0.000000,13.522244,-22.926824,41.143076,64.069900,13.522244,-0.000000,29.258395,-30.838295,59.361705,90.200000,29.258395,-0.000000,8.325958,-15.663864,8.436136,24.100000,8.325958,-0.000000,6.929646,-14.457386,6.842614,21.300000,6.929646,0.000000,5.008981,-11.749545,8.750455,20.500000,5.008981,-0.000000,3.428322,-9.245568,6.354432,15.600000,3.428322,0.000000,77.233940,-95.283864,117.690851,212.974715,77.233940,0,bobath handshake
1,0.000000,35.467788,-50.565684,60.505916,111.071600,35.467788,-0.000000,11.170478,-22.792656,25.189844,47.982500,11.170478,-0.000000,25.964230,-46.903909,48.492191,95.396100,25.964230,-0.000000,44.151055,-65.085472,60.984128,126.069600,44.151055,0.000000,35.328379,-62.364528,55.757972,118.122500,35.328379,0.000000,10.573241,-19.595139,23.666961,43.262100,10.573241,0.000000,29.820329,-31.690909,57.409091,89.100000,29.820329,0.000000,8.066133,-15.272727,8.727273,24.000000,8.066133,0.000000,6.732225,-14.330682,6.569318,20.900000,6.732225,-0.000000,4.751323,-12.249773,8.550227,20.800000,4.751323,-0.000000,2.918840,-10.137955,5.562045,15.700000,2.918840,-0.000000,78.282052,-93.939868,115.247023,209.186891,78.282052,0,bobath handshake
2,-0.000000,35.799498,-51.339183,59.732417,111.071600,35.799498,-0.000000,11.059709,-23.796384,24.186116,47.982500,11.059709,-0.000000,25.799039,-44.932802,50.463298,95.396100,25.799039,0.000000,43.906567,-64.597435,61.472165,126.069600,43.906567,0.000000,35.642503,-60.693798,55.670202,116.364000,35.642503,-0.000000,10.681337,-19.683490,24.782210,44.465700,10.681337,0.000000,26.364533,-30.213977,60.786023,91.000000,26.364533,0.000000,7.637279,-14.146023,8.253977,22.400000,7.637279,-0.000000,6.457566,-14.826136,6.573864,21.400000,6.457566,0.000000,4.443101,-12.499432,9.000568,21.500000,4.443101,0.000000,2.476476,-10.562500,5.837500,16.400000,2.476476,0.000000,76.947035,-84.622759,116.411515,201.034275,76.947035,0,bobath handshake
3,0.000000,28.824225,-57.703826,60.696474,118.400300,28.824225,0.000000,22.996796,-61.371511,52.975989,114.347500,22.996796,-0.000000,33.143642,-61.587225,77.036775,138.624000,33.143642,-0.000000,38.077130,-72.943530,43.990770,116.934300,38.077130,-0.000000,17.150691,-49.516701,47.678499,97.195200,17.150691,0.000000,15.089114,-33.845811,46.440689,80.286500,15.089114,-0.000000,1.739777,-11.624886,5.975114,17.600000,1.739777,0.000000,10.371096,-17.736023,14.663977,32.400000,10.371096,-0.000000,8.210418,-14.027500,11.272500,25.300000,8.210418,0.000000,9.354949,-20.432841,22.067159,42.500000,9.354949,-0.000000,4.241518,-12.218750,15.181250,27.400000,4.241518,0.000000,87.527223,-144.676239,128.995333,273.671572,87.527223,0,bobath handshake
4,-0.000000,28.850607,-59.756789,58.643511,118.400300,28.850607,0.000000,23.969877,-61.384678,54.412222,115.796900,23.969877,0.000000,32.844392,-59.082951,79.541049,138.624000,32.844392,0.000000,37.649191,-76.392028,41.164672,117.556700,37.649191,0.000000,18.806117,-48.875498,59.995002,108.870500,18.806117,0.000000,15.186381,-36.531174,45.383026,81.914200,15.186381,0.000000,1.646750,-12.380682,6.119318,18.500000,1.646750,-0.000000,9.981346,-17.254886,15.145114,32.400000,9.981346,0.000000,8.022285,-13.413182,11.386818,24.800000,8.022285,-0.000000,9.128413,-18.666591,22.333409,41.000000,9.128413,0.000000,4.174042,-10.229545,15.570455,25.800000,4.174042,-0.000000,87.141703,-147.631461,126.040111,273.671572,87.141703,0,bobath handshake
5,-0.000000,27.954024,-57.660260,60.740040,118.400300,27.954024,-0.000000,23.791458,-62.106564,53.690336,115.796900,23.791458,0.000000,32.619346,-62.320451,76.303549,138.624000,32.619346,-0.000000,37.359957,-74.655701,42.900999,117.556700,37.359957,0.000000,18.222981,-48.991347,59.879153,108.870500,18.222981,0.000000,13.715007,-34.341707,44.167993,78.509700,13.715007,0.000000,1.542702,-11.251705,6.248295,17.500000,1.542702,-0.000000,9.848299,-16.218864,16.181136,32.400000,9.848299,-0.000000,8.000544,-14.182727,12.317273,26.500000,8.000544,0.000000,9.131396,-22.076136,23.323864,45.400000,9.131396,-0.000000,4.081655,-12.810114,16.289886,29.100000,4.081655,0.000000,87.752354,-145.843425,133.303904,279.147330,87.752354,0,bobath handshake
6,0.000000,41.734703,-57.909726,74.075074,131.984800,41.734703,-0.000000,12.820173,-32.881099,24.456801,57.337900,12.820173,-0.000000,20.272225,-41.806149,44.725951,86.532100,20.272225,-0.000000,38.421027,-55.741179,55.039821,110.781000,38.421027,0.000000,11.089499,-21.383034,20.631766,42.014800,11.089499,-0.000000,5.563851,-17.101092,14.587008,31.688100,5.563851,0.000000,1.888499,-11.520568,4.879432,16.400000,1.888499,0.000000,7.938510,-13.275568,11.624432,24.900000,7.938510,0.000000,7.356088,-13.593295,9.106705,22.700000,7.356088,-0.000000,6.278788,-14.834205,12.165795,27.000000,6.278788,0.000000,1.776685,-11.075341,5.024659,16.100000,1.776685,-0.000000,66.847865,-91.229721,95.991687,187.221408,66.847865,0,bobath handshake
7,-0.000000,42.182082,-57.999945,77.041655,135.041600,42.182082,-0.000000,12.815595,-33.439610,23.898290,57.337900,12.815595,-0.000000,20.751932,-41.872881,44.970019,86.842900,20.751932,-0.000000,38.954423,-55.962582,54.818418,110.781000,38.954423,0.000000,11.396399,-22.529993,22.439507,44.969500,11.396399,-0.000000,5.011355,-16.227939,11.732061,27.960000,5.011355,0.000000,1.690135,-11.655795,4.144205,15.800000,1.690135,-0.000000,7.700119,-13.161932,11.738068,24.900000,7.700119,-0.000000,7.185720,-13.107386,8.892614,22.000000,7.185720,0.000000,5.895445,-12.380227,9.819773,22.200000,5.895445,0.000000,1.683898,-9.880682,5.119318,15.000000,1.683898,0.000000,66.660144,-91.331843,94.550563,185.882406,66.660144,0,bobath handshake
8,0.000000,42.922700,-59.208667,76.780433,135.989100,42.922700,0.000000,13.637585,-37.904860,25.482640,63.387500,13.637585,-0.000000,23.418036,-43.340579,48.388621,91.729200,23.418036,0.000000,40.273068,-57.156327,54.045273,111.201600,40.273068,-0.000000,11.650548,-27.131636,22.796264,49.927900,11.650548,0.000000,5.132259,-15.888355,10.649245,26.537600,5.132259,-0.000000,1.659137,-11.885227,4.314773,16.200000,1.659137,-0.000000,7.208175,-12.388636,10.311364,22.700000,7.208175,0.000000,6.979510,-13.493750,9.006250,22.500000,6.979510,-0.000000,5.612475,-13.655341,10.044659,23.700000,5.612475,0.000000,2.429004,-11.130682,14.869318,26.000000,2.429004,0.000000,68.239941,-96.786518,91.114418,187.900936,68.239941,0,bobath handshake
9,0.000000,29.443353,-57.976782,54.583518,112.560300,29.443353,0.000000,40.892808,-80.212403,82.423497,162.635900,40.892808,-0.000000,34.419315,-54.514139,90.484261,144.998400,34.419315,0.000000,30.705359,-89.889734,29.234966,119.124700,30.705359,0.000000,25.811163,-41.150124,98.823876,139.974000,25.811163,0.000000,20.539863,-26.477098,69.128402,95.605500,20.539863,0.000000,0.721313,-11.448295,1.251705,12.700000,0.721313,0.000000,9.624855,-22.333068,15.766932,38.100000,9.624855,0.000000,5.172486,-17.425114,10.274886,27.700000,5.172486,0.000000,7.931015,-24.852386,13.247614,38.100000,7.931015,0.000000,3.461574,-10.547386,7.652614,18.200000,3.461574,0.000000,107.114422,-208.251189,131.908697,340.159886,107.114422,0,bobath handshake
